"athlete_display_name","team_name","team_id","game_date","game_id","fgm","fga","fg3m","fg3a","ftm","fta","reb","ast","stl","blk","to","pts","fpts"
"Dorian Finney-Smith","Mavericks","6",2022-12-02,401468480,2,5,2,4,0,0,2,2,1,0,1,6,15
"Tim Hardaway Jr.","Mavericks","6",2022-12-02,401468480,9,20,6,14,2,4,5,2,2,1,0,26,49
"Dwight Powell","Mavericks","6",2022-12-02,401468480,3,3,0,0,1,4,1,0,0,1,4,7,4
"Spencer Dinwiddie","Mavericks","6",2022-12-02,401468480,0,2,0,1,2,4,0,6,0,1,1,2,12
"Luka Doncic","Mavericks","6",2022-12-02,401468480,13,25,7,14,2,6,5,10,3,0,3,35,70
"Maxi Kleber","Mavericks","6",2022-12-02,401468480,4,8,2,5,0,0,3,1,0,4,1,10,31
"Davis Bertans","Mavericks","6",2022-12-02,401468480,0,1,0,1,2,3,0,0,0,0,0,2,0
"Reggie Bullock","Mavericks","6",2022-12-02,401468480,2,4,1,3,1,2,4,0,1,0,0,6,14
"Christian Wood","Mavericks","6",2022-12-02,401468480,10,13,1,2,4,6,8,3,0,0,2,25,41
"Josh Green","Mavericks","6",2022-12-02,401468480,3,5,0,2,0,0,2,1,1,0,1,6,13
"Marvin Bagley III","Pistons","8",2022-12-02,401468480,7,10,1,2,4,6,13,2,1,0,1,19,41
"Isaiah Livers","Pistons","8",2022-12-02,401468480,2,2,2,2,0,0,0,0,0,0,1,6,8
"Bojan Bogdanovic","Pistons","8",2022-12-02,401468480,10,14,5,6,5,6,4,4,2,0,2,30,56
"Isaiah Stewart","Pistons","8",2022-12-02,401468480,4,12,1,4,0,0,12,3,0,0,1,9,22
"Killian Hayes","Pistons","8",2022-12-02,401468480,10,13,2,4,0,0,4,8,0,0,2,22,47
"Kevin Knox II","Pistons","8",2022-12-02,401468480,1,1,0,0,0,0,2,1,1,0,0,2,11
"Saddiq Bey","Pistons","8",2022-12-02,401468480,2,7,1,3,1,2,5,1,0,0,0,6,10
"Jalen Duren","Pistons","8",2022-12-02,401468480,5,7,0,0,1,4,2,0,2,0,1,11,19
"Cory Joseph","Pistons","8",2022-12-02,401468480,0,2,0,1,0,0,1,3,0,0,1,0,3
"Jaden Ivey","Pistons","8",2022-12-02,401468480,6,15,2,7,2,4,3,6,1,0,4,16,24
"Alec Burks","Pistons","8",2022-12-02,401468480,4,11,1,6,1,2,6,1,2,0,0,10,23
"Justise Winslow","Trail Blazers","22",2022-12-01,401468479,9,11,3,3,0,0,5,4,0,0,3,21,38
"Trendon Watford","Trail Blazers","22",2022-12-01,401468479,4,6,0,1,2,2,10,1,0,0,2,10,20
"Jerami Grant","Trail Blazers","22",2022-12-01,401468479,10,23,2,5,5,6,4,5,2,1,0,27,51
"Jusuf Nurkic","Trail Blazers","22",2022-12-01,401468479,2,8,0,1,4,6,10,1,1,1,2,8,18
"Anfernee Simons","Trail Blazers","22",2022-12-01,401468479,9,22,2,7,2,2,4,8,1,0,0,22,44
"Drew Eubanks","Trail Blazers","22",2022-12-01,401468479,0,0,0,0,3,4,3,2,0,1,0,3,13
"Greg Brown III","Trail Blazers","22",2022-12-01,401468479,0,4,0,2,0,0,1,0,0,2,1,0,3
"Jabari Walker","Trail Blazers","22",2022-12-01,401468479,1,4,0,1,0,0,5,0,0,0,1,2,3
"John Butler Jr.","Trail Blazers","22",2022-12-01,401468479,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shaedon Sharpe","Trail Blazers","22",2022-12-01,401468479,7,12,1,4,1,1,3,0,0,0,1,16,20
"Anthony Davis","Lakers","13",2022-12-01,401468479,9,17,1,2,8,9,12,1,1,3,2,27,54
"LeBron James","Lakers","13",2022-12-01,401468479,12,18,6,8,1,3,7,8,0,1,2,31,64
"Patrick Beverley","Lakers","13",2022-12-01,401468479,2,7,1,5,0,0,4,0,1,1,0,5,15
"Dennis Schroder","Lakers","13",2022-12-01,401468479,3,7,0,0,0,1,1,5,0,0,2,6,11
"Austin Reaves","Lakers","13",2022-12-01,401468479,7,10,2,5,6,8,5,3,1,1,0,22,45
"Matt Ryan","Lakers","13",2022-12-01,401468479,0,1,0,1,0,0,0,0,0,0,0,0,-1
"Wenyen Gabriel","Lakers","13",2022-12-01,401468479,2,2,0,0,2,2,4,0,1,0,0,6,16
"Juan Toscano-Anderson","Lakers","13",2022-12-01,401468479,0,0,0,0,0,0,1,1,0,0,0,0,3
"Damian Jones","Lakers","13",2022-12-01,401468479,0,0,0,0,0,0,1,0,0,0,0,0,1
"Thomas Bryant","Lakers","13",2022-12-01,401468479,6,9,1,3,1,1,6,3,0,0,0,14,30
"Russell Westbrook","Lakers","13",2022-12-01,401468479,4,14,2,6,0,2,5,4,1,0,0,10,21
"Kendrick Nunn","Lakers","13",2022-12-01,401468479,2,6,0,2,0,0,1,2,0,0,1,4,5
"Max Christie","Lakers","13",2022-12-01,401468479,1,6,1,5,0,0,1,1,0,0,0,3,3
"Jalen Smith","Pacers","11",2022-12-01,401468478,8,10,4,5,2,3,6,0,0,1,1,22,39
"Myles Turner","Pacers","11",2022-12-01,401468478,2,9,0,3,0,2,6,0,0,3,1,4,13
"Andrew Nembhard","Pacers","11",2022-12-01,401468478,3,7,0,3,0,0,2,4,0,0,2,6,11
"Tyrese Haliburton","Pacers","11",2022-12-01,401468478,4,13,1,6,0,0,4,10,2,0,2,9,33
"Buddy Hield","Pacers","11",2022-12-01,401468478,6,13,3,8,2,3,4,1,0,0,1,17,22
"Oshae Brissett","Pacers","11",2022-12-01,401468478,2,4,0,1,4,5,5,0,1,0,1,8,14
"Terry Taylor","Pacers","11",2022-12-01,401468478,0,2,0,0,0,0,2,0,0,0,2,0,-4
"Aaron Nesmith","Pacers","11",2022-12-01,401468478,3,10,2,5,0,0,4,1,1,1,1,8,18
"Isaiah Jackson","Pacers","11",2022-12-01,401468478,1,5,0,0,3,4,6,2,0,0,0,5,11
"Goga Bitadze","Pacers","11",2022-12-01,401468478,3,4,1,1,1,2,2,0,0,0,0,8,12
"T.J. McConnell","Pacers","11",2022-12-01,401468478,2,6,1,1,0,0,4,10,3,0,2,5,36
"Bennedict Mathurin","Pacers","11",2022-12-01,401468478,6,17,0,4,10,11,2,0,1,0,2,22,18
"Domantas Sabonis","Kings","23",2022-12-01,401468478,5,9,1,2,0,0,10,7,1,0,3,11,35
"Harrison Barnes","Kings","23",2022-12-01,401468478,6,9,1,4,9,10,5,2,2,0,1,22,40
"Keegan Murray","Kings","23",2022-12-01,401468478,4,12,2,9,4,4,6,0,0,0,3,14,12
"De'Aaron Fox","Kings","23",2022-12-01,401468478,7,11,1,1,4,5,5,6,0,0,3,19,33
"Kevin Huerter","Kings","23",2022-12-01,401468478,5,10,2,6,1,2,5,0,0,0,0,13,19
"Chimezie Metu","Kings","23",2022-12-01,401468478,4,7,0,1,0,0,8,1,0,1,0,8,23
"KZ Okpala","Kings","23",2022-12-01,401468478,1,1,1,1,0,0,4,1,1,1,1,3,17
"Alex Len","Kings","23",2022-12-01,401468478,2,3,0,0,0,0,5,1,0,0,0,4,12
"Richaun Holmes","Kings","23",2022-12-01,401468478,0,2,0,1,0,0,1,0,0,0,0,0,-1
"Matthew Dellavedova","Kings","23",2022-12-01,401468478,0,3,0,1,0,0,0,0,0,0,1,0,-5
"Davion Mitchell","Kings","23",2022-12-01,401468478,3,6,2,3,0,0,1,2,1,2,1,8,25
"Terence Davis","Kings","23",2022-12-01,401468478,5,13,3,8,2,2,4,2,1,1,1,15,29
"Malik Monk","Kings","23",2022-12-01,401468478,6,9,3,6,5,6,4,6,2,0,4,20,41
"Jabari Smith Jr.","Rockets","10",2022-12-01,401468475,5,12,3,6,0,0,4,2,1,1,1,13,28
"Alperen Sengun","Rockets","10",2022-12-01,401468475,8,12,0,2,2,2,11,1,0,0,2,18,31
"Eric Gordon","Rockets","10",2022-12-01,401468475,1,4,0,3,0,0,0,0,0,0,3,2,-6
"Kevin Porter Jr.","Rockets","10",2022-12-01,401468475,8,18,5,7,2,2,6,5,1,0,3,23,40
"Jalen Green","Rockets","10",2022-12-01,401468475,6,16,1,7,3,5,3,3,0,0,2,16,16
"Bruno Fernando","Rockets","10",2022-12-01,401468475,0,2,0,0,2,2,2,0,0,2,0,2,10
"Usman Garuba","Rockets","10",2022-12-01,401468475,1,3,0,2,0,1,2,1,1,2,1,2,14
"Kenyon Martin Jr.","Rockets","10",2022-12-01,401468475,1,3,0,1,1,2,2,2,0,0,0,3,7
"Tari Eason","Rockets","10",2022-12-01,401468475,0,5,0,4,4,4,5,2,1,1,0,4,16
"Garrison Mathews","Rockets","10",2022-12-01,401468475,2,4,2,4,0,0,1,0,0,0,0,6,9
"Josh Christopher","Rockets","10",2022-12-01,401468475,2,2,0,0,0,0,0,0,1,0,1,4,8
"Daishen Nix","Rockets","10",2022-12-01,401468475,3,7,1,5,0,0,3,2,0,0,1,7,12
"Aaron Gordon","Nuggets","7",2022-12-01,401468475,7,12,2,4,4,7,6,2,0,1,1,20,33
"Bruce Brown","Nuggets","7",2022-12-01,401468475,6,13,4,7,2,2,5,4,2,0,1,18,40
"Nikola Jokic","Nuggets","7",2022-12-01,401468475,7,9,2,3,1,1,9,12,1,1,4,17,57
"Jamal Murray","Nuggets","7",2022-12-01,401468475,9,15,4,6,4,5,4,2,0,0,0,26,40
"Kentavious Caldwell-Pope","Nuggets","7",2022-12-01,401468475,2,7,1,3,0,0,1,2,2,1,1,5,18
"Zeke Nnaji","Nuggets","7",2022-12-01,401468475,0,0,0,0,0,0,1,0,0,0,1,0,-1
"Jack White","Nuggets","7",2022-12-01,401468475,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vlatko Cancar","Nuggets","7",2022-12-01,401468475,5,6,3,4,0,0,5,0,0,0,1,13,23
"DeAndre Jordan","Nuggets","7",2022-12-01,401468475,3,4,0,0,2,3,6,1,0,2,2,8,21
"Ish Smith","Nuggets","7",2022-12-01,401468475,3,10,0,1,0,0,2,7,0,2,0,6,26
"Davon Reed","Nuggets","7",2022-12-01,401468475,2,6,1,4,2,2,2,0,1,1,0,7,16
"Christian Braun","Nuggets","7",2022-12-01,401468475,0,1,0,0,0,0,1,0,0,0,0,0,0
"Patrick Williams","Bulls","4",2022-12-01,401468476,0,8,0,3,2,2,3,1,0,1,0,2,3
"DeMar DeRozan","Bulls","4",2022-12-01,401468476,11,17,0,1,7,8,7,4,0,1,2,29,48
"Nikola Vucevic","Bulls","4",2022-12-01,401468476,5,9,1,3,6,7,8,1,2,1,2,17,36
"Zach LaVine","Bulls","4",2022-12-01,401468476,7,15,1,6,6,7,4,7,0,0,1,21,36
