"","Player_Name","NBA Team","Team","Position"
"1","Nikola Jokic","DEN","Tank Commanders","C"
"2","Dejounte Murray","ATL","Tank Commanders","PG,SG"
"3","Bam Adebayo","MIA","Tank Commanders","C,PF"
"4","Bradley Beal","WAS","Tank Commanders","SG"
"5","Darius Garland","CLE","Tank Commanders","PG,SG"
"6","Keldon Johnson","SAS","Tank Commanders","SF,PF"
"7","Tobias Harris","PHL","Tank Commanders","SF,PF"
"8","Jrue Holiday","MIL","Tank Commanders","PG,SG"
"9","Jaren Jackson Jr.","MEM","Tank Commanders","PF,C"
"10","Jaylen Brown","BOS","Tank Commanders","SG,SF"
"11","Jalen Williams","OKC","Tank Commanders","SG,SF"
"12","Cameron Johnson","BKN","Tank Commanders","SF,PF"
"13","Ja Morant","MEM","Neural Nets","PG"
"14","Devin Booker","PHO","Neural Nets","SG,PG"
"15","Anthony Edwards","MIN","Neural Nets","SG,SF"
"16","Kawhi Leonard","LAC","Neural Nets","SF,PF"
"17","Zach LaVine","CHI","Neural Nets","SG,SF"
"18","Jamal Murray","DEN","Neural Nets","PG"
"19","Jarrett Allen","CLE","Neural Nets","C"
"20","Franz Wagner","ORL","Neural Nets","SG,SF,PF"
"21","Tyler Herro","MIA","Neural Nets","SG,PG"
"22","Mikal Bridges","BKN","Neural Nets","SG,SF"
"23","P.J. Washington","CHA","Neural Nets","PF,C"
"24","Derrick White","BOS","Neural Nets","PG,SG"
"25","Malcolm Brogdon","BOS","Neural Nets","PG,SG"
"26","Trae Young","ATL","Autodraft All-Stars","PG"
"27","Damian Lillard","POR","Autodraft All-Stars","PG"
"28","Paul George","LAC","Autodraft All-Stars","SF,SG"
"29","Zion Williamson","NOP","Autodraft All-Stars","PF"
"30","Alperen Sengun","HOU","Autodraft All-Stars","C"
"31","Jakob Poeltl","TOR","Autodraft All-Stars","C"
"32","Jalen Green","HOU","Autodraft All-Stars","SG"
"33","Michael Porter Jr.","DEN","Autodraft All-Stars","SF,PF"
"34","Jalen Suggs","ORL","Autodraft All-Stars","PG,SG"
"35","Trey Murphy III","NOP","Autodraft All-Stars","SG,SF"
"36","Bojan Bogdanovic","DET","Autodraft All-Stars","SF,PF"
"37","De'Anthony Melton","PHL","Autodraft All-Stars","PG,SG"
"38","Moritz Wagner","ORL","Autodraft All-Stars","C,PF"
"39","Jayson Tatum","BOS","Orem Octopi","SF,PF"
"40","Pascal Siakam","TOR","Orem Octopi","PF,C"
"41","Jalen Brunson","NYK","Orem Octopi","PG,SG"
"42","Evan Mobley","CLE","Orem Octopi","PF,C"
"43","CJ McCollum","NOP","Orem Octopi","PG,SG"
"44","Josh Giddey","OKC","Orem Octopi","PG,SG"
"45","Buddy Hield","IND","Orem Octopi","SG,SF"
"46","Draymond Green","GSW","Orem Octopi","PF,C"
"47","Markelle Fultz","ORL","Orem Octopi","PG"
"48","Walker Kessler","UTA","Orem Octopi","C"
"49","Immanuel Quickley","NYK","Orem Octopi","PG"
"50","Kyle Anderson","MIN","Orem Octopi","SF,PF"
